artist_name,image_url,source_page_url,source_site,page_title,alt_text,caption_or_context,width,height,confidence,notes
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/b/be/4T0A8762_%2829061054158%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8762 (29061054158).jpg,wikimedia commons,File:4T0A8762 (29061054158).jpg,File:4T0A8762 (29061054158).jpg,commons search result,5000,3333,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/e/e5/4T0A8769_%2842934178121%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8769 (42934178121).jpg,wikimedia commons,File:4T0A8769 (42934178121).jpg,File:4T0A8769 (42934178121).jpg,commons search result,5000,3333,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/c/cf/4T0A8775_%2829061050928%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8775 (29061050928).jpg,wikimedia commons,File:4T0A8775 (29061050928).jpg,File:4T0A8775 (29061050928).jpg,commons search result,5000,3333,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/b/b0/4T0A8791_%2842032273795%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8791 (42032273795).jpg,wikimedia commons,File:4T0A8791 (42032273795).jpg,File:4T0A8791 (42032273795).jpg,commons search result,5000,3333,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/9/92/4T0A8879_%2842884723732%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8879 (42884723732).jpg,wikimedia commons,File:4T0A8879 (42884723732).jpg,File:4T0A8879 (42884723732).jpg,commons search result,5971,3981,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/2/2e/4T0A8802_%2842032267795%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8802 (42032267795).jpg,wikimedia commons,File:4T0A8802 (42032267795).jpg,File:4T0A8802 (42032267795).jpg,commons search result,5040,3360,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/d/d0/4T0A8823_%2828064851967%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8823 (28064851967).jpg,wikimedia commons,File:4T0A8823 (28064851967).jpg,File:4T0A8823 (28064851967).jpg,commons search result,5040,3360,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/6/67/4T0A8843_%2829061044668%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8843 (29061044668).jpg,wikimedia commons,File:4T0A8843 (29061044668).jpg,File:4T0A8843 (29061044668).jpg,commons search result,5040,3360,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/7/7f/4T0A8859_%2842215393294%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8859 (42215393294).jpg,wikimedia commons,File:4T0A8859 (42215393294).jpg,File:4T0A8859 (42215393294).jpg,commons search result,4710,3140,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/7/75/4T0A8870_%2842884725422%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8870 (42884725422).jpg,wikimedia commons,File:4T0A8870 (42884725422).jpg,File:4T0A8870 (42884725422).jpg,commons search result,5040,3360,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/4/40/4T0A88872_%2842032244035%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A88872 (42032244035).jpg,wikimedia commons,File:4T0A88872 (42032244035).jpg,File:4T0A88872 (42032244035).jpg,commons search result,5040,3360,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/5/59/4T0A8887_%2842032246105%29.jpg,https://commons.wikimedia.org/wiki/File:4T0A8887 (42032246105).jpg,wikimedia commons,File:4T0A8887 (42032246105).jpg,File:4T0A8887 (42032246105).jpg,commons search result,5040,3360,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/7/74/Berlin%2C_1897.jpg,"https://commons.wikimedia.org/wiki/File:Berlin, 1897.jpg",wikimedia commons,"File:Berlin, 1897.jpg","File:Berlin, 1897.jpg",commons search result,550,432,medium,from wikimedia commons search
